,avail,forcast_avail,bottom_level,top_level,percentage
0,0,1,14,65,0
1,1,1,74,15,1
2,0,0,48,7,7
3,0,1,45,40,1
4,1,0,99,30,7
5,0,0,96,56,0
6,1,1,46,10,30
7,0,0,20,44,0
8,1,1,78,60,13
9,0,1,57,39,8
10,0,0,7,92,0
11,0,1,67,4,7
12,0,1,32,62,6
13,1,0,92,23,21
14,0,0,82,36,10
15,0,1,22,21,0
16,0,0,53,8,12
17,0,1,88,26,8
18,0,0,46,84,0
19,0,0,1,10,0
20,0,1,46,61,5
21,0,1,9,98,0
22,0,0,5,37,0
23,1,1,44,85,0
24,1,1,48,39,30
25,0,0,13,88,0
26,1,0,10,0,0
27,0,1,46,52,8
28,0,0,69,73,0
29,1,0,35,53,28
30,0,0,83,81,0
31,0,0,95,48,1
32,0,0,5,23,0
33,0,1,32,92,0
34,0,0,1,78,0
35,0,1,86,75,0
36,0,0,5,39,0
37,0,1,86,95,0
38,1,1,16,43,0
39,0,0,38,47,9
40,0,0,47,39,7
41,1,0,84,97,0
42,1,0,35,50,2
43,1,0,5,56,0
44,1,1,4,31,0
45,0,0,50,31,5
46,0,0,28,96,0
47,1,1,97,63,26
48,0,1,14,9,0
49,0,0,65,23,1
50,1,1,82,27,7
51,0,0,8,55,0
52,0,1,10,99,0
53,1,0,43,17,13
54,0,1,92,27,9
55,1,0,69,99,0
56,1,0,47,28,21
57,1,1,19,4,0
58,0,1,80,83,0
59,1,1,64,29,9
60,0,0,98,43,10
61,1,1,42,72,0
62,1,1,90,75,0
63,1,1,92,86,0
64,0,0,22,90,0
65,1,1,59,58,17
66,1,1,69,44,22
67,1,1,60,94,0
68,0,0,81,95,0
69,0,1,87,24,8
70,1,0,62,74,0
71,1,1,40,94,0
72,1,0,10,21,0
73,1,1,92,54,4
74,1,0,62,39,23
75,0,0,28,75,0
76,0,1,32,42,9
77,1,0,89,7,25
78,0,0,15,99,0
79,1,0,66,14,2
80,0,0,0,86,0
81,0,0,85,38,2
82,0,0,15,61,0
83,0,0,76,95,0
84,0,0,18,30,0
85,1,0,2,28,0
86,0,0,21,82,0
87,0,0,26,57,0
88,0,0,73,54,0
89,1,1,0,96,0
90,0,1,86,85,0
91,1,0,26,25,0
92,0,1,11,65,0
93,0,1,48,82,0
94,1,0,9,16,0
95,0,0,90,8,10
96,1,1,14,94,0
97,0,1,41,11,8
98,1,1,28,33,0
99,1,1,62,2,25
100,0,1,66,91,0
101,0,1,90,95,0
102,0,0,46,35,4
103,1,0,58,16,22
104,0,1,38,51,5
105,0,1,85,72,0
106,0,1,80,40,10
107,0,0,6,25,0
108,0,0,22,53,0
109,0,1,55,90,0
110,1,0,47,9,29
111,1,0,21,7,0
112,1,0,62,81,0
113,0,1,26,72,0
114,0,0,17,28,0
115,1,0,40,17,6
116,1,1,85,80,0
117,0,0,24,5,0
118,1,1,19,23,0
119,0,1,72,2,5
120,1,0,45,57,7
121,1,0,27,22,0
122,0,0,50,88,0
123,1,1,65,99,0
124,0,1,74,65,6
125,0,0,62,46,2
126,1,0,30,91,0
127,0,1,40,31,0
128,1,1,89,83,0
129,1,1,24,78,0
130,1,0,13,99,0
131,1,0,19,46,0
132,0,0,97,26,4
133,1,1,81,21,21
134,0,1,46,79,0
135,1,1,55,30,22
136,0,0,84,72,0
137,0,1,91,50,9
138,0,0,19,26,0
139,1,1,23,78,0
140,0,1,38,70,7
141,0,0,85,50,9
142,0,0,69,24,2
143,0,0,41,47,3
144,1,0,50,79,0
145,1,1,65,19,15
146,1,0,71,99,0
147,1,1,43,65,10
148,1,0,24,2,0
149,0,1,2,37,0
150,1,1,20,25,0
151,1,1,62,91,0
152,0,1,26,6,0
153,1,1,96,17,29
154,1,1,7,59,0
155,1,0,0,76,0
156,0,0,88,77,0
157,0,1,100,12,0
