,avail,forcast_avail,bottom_level,top_level,percentage
0,0,0,95,85,7
1,1,1,15,7,2
2,1,0,7,25,16
3,0,0,30,39,16
4,0,0,100,26,8
5,1,1,73,39,14
6,1,1,89,66,13
7,0,1,98,91,6
8,0,1,96,1,9
9,1,0,55,4,15
10,1,1,41,38,6
11,0,1,80,22,13
12,1,1,96,82,15
13,0,1,46,26,4
14,0,1,71,48,2
15,0,0,42,65,10
16,1,1,7,29,8
17,0,1,82,43,16
18,0,0,61,65,15
19,1,1,85,37,17
20,0,1,70,99,15
21,1,0,50,0,11
22,0,1,66,1,14
23,1,1,77,24,6
24,1,1,49,39,6
25,1,0,66,54,5
26,1,1,100,68,10
27,0,1,61,82,3
28,1,0,77,30,16
29,0,0,91,75,18
30,0,1,25,61,1
31,1,0,24,20,7
32,1,0,44,17,16
33,1,0,41,89,15
34,0,1,47,40,10
35,0,1,25,70,7
36,0,1,10,40,16
37,1,0,18,48,0
38,0,0,95,68,9
39,1,1,2,3,10
40,0,0,17,58,7
41,1,1,47,46,17
42,0,0,52,33,8
43,1,1,67,99,3
44,0,0,42,47,4
45,1,1,53,87,20
46,1,1,86,71,0
47,1,1,4,2,8
48,1,0,65,3,2
49,0,0,94,1,11
50,1,1,15,72,12
51,0,0,59,90,4
52,0,1,31,50,19
53,1,1,43,72,12
54,1,1,25,61,1
55,1,1,90,69,11
56,0,0,31,46,3
57,0,0,45,69,12
58,1,0,97,19,6
59,0,0,49,88,1
60,0,0,59,89,13
61,0,1,42,59,4
62,1,1,65,47,7
63,0,0,58,61,1
64,0,0,56,85,11
65,1,1,43,77,17
66,1,1,71,33,1
67,1,1,44,37,4
68,1,1,56,56,0
69,1,0,71,20,14
70,0,0,18,98,12
71,1,0,44,99,5
72,1,1,85,41,3
73,1,0,16,38,2
74,1,0,97,53,18
75,0,1,52,93,16
76,0,0,66,15,7
77,0,0,89,48,1
78,1,0,78,34,2
79,0,1,37,29,6
80,0,0,3,87,1
81,0,1,16,45,17
82,1,0,58,78,11
83,1,0,61,93,19
84,1,0,54,82,10
85,0,0,50,66,14
86,0,0,20,68,15
87,1,0,56,42,16
88,1,1,32,58,5
89,1,0,85,100,4
90,0,1,22,12,9
91,1,0,19,66,9
92,0,1,13,82,17
93,1,0,54,46,9
94,1,0,31,47,12
95,0,1,27,15,12
96,1,0,79,65,3
97,0,0,36,17,20
98,1,1,34,55,16
99,0,0,30,24,4
100,1,1,53,14,20
101,1,0,53,25,1
102,1,1,85,0,9
103,0,1,43,98,0
104,0,1,12,6,18
105,0,0,91,66,17
106,0,0,92,39,15
107,1,0,2,23,8
108,0,0,19,89,17
109,1,0,99,75,8
110,1,1,25,20,15
111,0,0,76,45,6
112,1,0,49,25,10
113,0,1,33,8,3
114,0,0,12,66,18
115,0,0,17,85,11
116,1,0,12,47,15
117,0,1,67,86,15
118,0,0,83,74,13
119,1,0,1,98,1
120,1,1,79,85,8
