,time,avail,forcast_avail,bottom_level,top_level,percentage
0,18,1,1,92,18,19
1,5,1,1,45,21,5
2,11,0,0,3,48,0
3,13,1,1,47,99,0
4,22,1,0,0,86,0
5,6,0,1,66,58,1
6,23,0,1,66,57,12
7,6,0,0,72,18,1
8,13,1,0,12,15,0
9,22,0,0,42,54,0
10,10,1,0,35,41,18
11,12,1,0,31,0,29
12,20,0,0,7,50,0
13,3,0,0,12,51,0
14,20,0,1,69,65,23
15,23,1,1,22,21,0
16,3,1,1,96,47,17
17,13,1,0,34,54,8
18,20,1,0,3,92,0
19,17,0,1,29,42,0
20,18,1,0,98,75,0
21,17,0,0,8,78,0
22,14,1,1,100,81,0
23,8,1,1,94,90,0
24,9,1,1,82,34,14
25,23,0,0,40,6,8
26,12,1,1,87,55,17
27,10,0,0,54,34,4
28,14,1,1,48,41,5
29,9,1,0,70,91,0
30,21,0,1,82,33,4
31,8,0,1,78,50,6
32,22,1,0,29,3,0
33,21,1,1,22,98,0
34,22,1,1,45,26,13
35,4,0,1,24,30,0
36,8,0,1,45,22,4
37,3,1,1,88,98,0
38,2,1,0,58,85,0
39,19,1,0,75,16,28
40,22,0,1,100,18,4
41,11,1,1,3,5,0
42,4,1,0,12,18,0
43,22,1,1,66,18,24
44,8,1,0,54,47,18
45,21,1,1,50,31,1
46,0,0,0,46,25,6
47,6,1,0,98,88,0
48,15,0,0,31,10,14
49,20,1,0,16,100,0
50,3,1,1,2,6,0
51,9,1,1,5,1,0
52,20,0,0,15,34,0
53,21,0,1,7,99,0
54,8,1,1,6,86,0
55,3,1,1,43,56,11
56,10,0,0,26,32,0
57,1,1,1,70,85,0
58,18,0,0,59,1,13
59,21,0,0,52,24,8
60,22,0,1,58,19,28
61,13,0,0,54,94,0
62,7,0,1,59,85,0
63,20,0,0,86,53,6
64,22,0,1,67,45,15
65,8,1,1,39,82,0
66,4,1,1,0,96,0
67,9,1,0,81,7,30
68,3,0,1,54,60,4
69,12,0,0,75,44,4
70,22,0,0,56,18,8
71,5,0,1,46,27,8
72,10,1,0,76,60,8
73,18,0,1,80,39,16
74,15,0,0,17,18,0
75,14,0,0,50,63,8
76,11,1,0,89,95,0
77,13,0,1,33,54,7
78,0,1,1,63,96,0
79,12,1,0,5,50,0
80,2,0,1,95,9,12
81,14,1,0,19,44,0
82,9,1,1,0,5,0
83,9,1,1,84,54,30
84,16,0,1,67,18,4
85,5,1,1,64,82,0
86,13,1,0,55,82,0
87,15,0,1,91,27,3
88,19,0,1,3,61,0
89,22,1,1,40,29,7
90,19,0,1,40,55,20
91,11,1,0,73,96,0
92,21,1,0,54,95,0
93,14,1,1,46,90,0
94,11,1,0,59,77,0
95,19,0,0,98,21,4
96,4,0,1,12,86,0
97,19,1,0,75,5,26
98,0,1,0,92,2,24
99,5,0,0,35,18,8
100,4,0,1,27,55,0
101,22,0,0,14,57,0
102,2,0,0,81,56,10
103,2,1,0,9,49,0
104,10,0,0,34,47,6
105,22,0,1,96,98,0
106,18,1,1,26,13,0
107,15,0,1,53,15,9
108,3,0,0,61,50,4
109,0,1,1,52,33,15
110,8,0,0,36,46,1
111,1,1,1,63,69,0
112,21,1,0,27,19,0
113,6,1,0,57,15,25
114,0,1,1,25,35,0
115,3,1,0,39,81,0
116,19,1,0,96,7,20
117,3,1,1,15,37,0
118,14,0,1,31,12,3
119,6,1,1,19,8,0
120,1,0,1,42,47,5
121,20,0,1,16,33,0
122,22,0,1,74,44,28
123,11,1,0,78,99,0
124,20,1,1,14,81,0
125,7,0,1,85,21,1
126,22,1,1,12,98,0
127,23,1,0,51,59,10
128,12,0,0,76,95,0
129,21,1,1,13,74,0
130,11,0,0,18,52,0
131,18,1,1,53,63,19
132,16,0,1,32,24,5
133,2,0,1,53,92,0
134,20,0,0,1,55,0
135,18,0,1,13,69,0
136,11,0,1,37,39,10
137,2,0,0,57,38,6
138,9,1,0,91,12,13
139,22,1,1,78,75,0
140,17,0,1,98,100,0
141,8,0,0,72,34,3
142,1,0,1,28,68,0
143,8,1,0,49,44,17
144,22,1,0,97,25,4
145,1,0,0,71,82,0
146,12,1,1,83,35,16
147,18,1,0,47,9,29
148,15,0,0,25,53,0
149,1,1,1,37,93,0
150,12,0,0,36,51,9
151,5,1,1,19,22,0
152,22,1,0,63,60,4
153,11,0,0,74,75,0
154,23,0,1,18,86,0
155,10,0,1,73,38,7
156,10,0,1,0,6,0
157,21,0,1,68,42,2
158,17,1,1,10,96,0
159,21,0,1,78,2,21
160,6,0,0,94,10,11
161,0,0,0,61,92,0
162,19,1,1,50,91,0
163,17,1,1,67,26,15
164,1,1,1,6,39,0
165,14,0,0,93,50,3
166,22,1,1,5,25,0
167,22,1,0,84,36,10
168,10,1,0,0,14,0
169,11,1,0,24,65,0
170,12,0,1,34,98,0
171,3,0,0,63,63,9
172,4,0,1,35,2,13
173,7,1,1,14,79,0
174,4,0,1,34,42,10
175,23,1,1,83,40,4
176,0,1,0,5,25,0
177,10,0,1,33,100,0
178,10,0,1,79,16,3
179,0,0,1,68,12,8
180,8,0,1,44,72,0
181,21,1,0,98,57,9
182,4,1,1,7,19,0
183,14,1,0,74,93,0
184,18,0,0,13,61,0
185,22,0,1,23,15,0
186,23,0,1,96,84,0
187,15,0,1,13,98,0
188,6,0,1,96,4,13
189,13,0,0,73,89,0
190,7,0,0,64,20,2
191,19,1,0,93,2,29
192,13,0,0,37,13,6
193,18,0,1,38,64,8
194,9,0,1,97,41,10
195,11,0,1,11,93,0
196,0,1,0,74,16,29
197,18,0,0,44,74,0
198,0,0,1,38,6,7
199,22,0,0,64,36,2
200,22,1,1,97,88,0
201,15,0,0,14,45,0
202,2,1,1,1,14,0
203,8,1,1,41,67,7
204,16,0,1,65,92,0
205,22,1,1,42,60,28
206,4,0,0,39,12,3
207,7,1,1,5,0,0
208,23,1,0,9,19,0
209,19,0,0,53,24,2
210,1,0,1,22,74,0
211,13,1,0,8,33,0
212,10,1,1,68,52,25
213,16,0,1,29,59,0
214,9,1,1,64,24,27
215,5,0,0,83,84,0
216,4,1,1,37,91,0
217,13,0,1,51,56,7
218,3,0,0,77,39,5
219,8,1,1,43,37,10
220,0,0,0,27,10,0
221,23,1,0,22,35,0
222,20,0,0,79,85,0
223,11,1,0,69,43,6
224,9,1,1,16,20,0
225,0,1,0,69,13,17
226,21,0,0,21,78,0
227,13,1,0,17,36,0
228,13,1,1,56,25,21
229,2,0,0,80,61,6
230,9,0,1,48,25,7
231,14,1,1,93,61,20
232,23,1,1,65,88,0
233,21,0,0,69,93,0
234,1,0,0,10,23,0
235,9,0,0,54,25,10
236,1,0,0,60,59,5
237,22,1,1,61,29,30
238,20,1,0,81,59,28
239,5,1,1,84,10,30
240,8,0,1,14,10,0
241,12,1,0,43,20,17
242,0,0,0,9,40,0
243,20,1,0,100,90,0
244,5,0,1,81,79,0
245,11,0,0,52,26,9
246,16,0,0,20,61,0
247,18,0,0,0,43,0
248,12,0,1,1,46,0
249,10,1,0,81,0,20
250,0,1,1,6,79,0
251,2,1,0,62,52,25
252,2,1,0,38,45,3
253,14,0,0,89,63,6
254,18,1,0,28,98,0
255,14,0,1,99,29,0
256,14,1,1,0,3,0
257,5,1,0,22,24,0
258,17,0,1,3,9,0
259,5,1,0,93,78,0
260,21,0,0,8,76,0
