,avail,forcast_avail,bottom_level,top_level,percentage
0,0,1,93,35,8
1,0,0,60,63,12
2,0,1,25,38,0
3,0,0,38,55,2
4,0,0,7,32,0
5,1,0,36,54,23
6,1,1,92,27,15
7,1,1,60,48,26
8,1,1,92,90,0
9,1,1,99,5,6
10,1,0,25,83,0
11,0,1,29,93,0
12,0,1,63,78,0
13,1,1,13,97,0
14,0,0,52,34,16
15,0,1,40,23,12
16,1,1,71,86,0
17,0,0,19,86,0
18,0,1,36,1,2
19,0,1,12,91,0
20,1,1,50,9,28
21,0,1,43,72,0
22,0,0,8,52,0
23,1,1,96,2,26
24,0,1,70,8,4
25,0,0,23,66,0
26,1,1,45,24,5
27,0,1,85,11,26
28,1,0,62,39,28
29,1,0,41,16,17
30,0,0,98,97,0
31,0,0,57,66,6
32,0,0,19,33,0
33,1,1,30,29,0
34,0,1,88,4,23
35,1,0,64,54,23
36,0,1,20,89,0
37,0,1,27,5,0
38,1,1,84,82,0
39,1,1,22,80,0
40,1,1,13,67,0
41,1,1,49,48,5
42,1,0,91,87,0
43,1,1,26,87,0
44,1,0,36,84,0
45,0,0,64,56,9
46,0,1,19,72,0
47,1,0,48,90,0
48,0,1,49,31,16
49,0,1,68,52,13
50,1,0,67,66,30
51,1,1,95,32,6
52,0,1,44,7,26
53,1,0,51,51,0
54,0,0,90,47,23
55,1,1,16,40,0
56,0,0,10,20,0
57,1,0,65,17,6
58,1,1,60,9,27
59,1,0,11,83,0
60,0,1,68,26,16
61,1,1,37,22,22
62,0,1,40,74,0
63,0,0,91,88,0
64,0,0,89,12,4
65,0,0,40,20,3
66,0,1,36,31,19
67,1,1,42,58,11
68,1,0,11,87,0
69,0,0,23,7,0
70,1,1,28,31,0
71,1,0,30,84,0
72,1,1,88,85,0
73,1,0,17,15,0
74,1,1,17,68,0
75,0,1,11,44,0
76,0,1,26,83,0
77,1,1,20,74,0
78,0,0,11,90,0
79,0,0,84,39,3
80,1,1,49,32,29
81,0,1,34,31,24
82,1,0,74,89,0
83,1,0,1,73,0
84,0,1,100,4,0
85,0,0,69,54,20
86,1,0,37,98,0
87,1,1,99,44,10
88,0,0,8,16,0
89,1,1,41,81,0
90,0,0,85,5,7
91,1,0,19,64,0
92,1,0,32,47,12
93,1,1,18,22,0
94,1,0,68,48,21
95,0,0,66,97,0
96,1,1,33,1,29
97,1,1,83,47,5
98,1,0,65,67,20
99,1,0,64,81,0
100,0,0,13,55,0
101,1,0,68,13,0
102,1,0,25,34,0
103,0,0,78,0,8
104,1,0,89,25,21
105,1,1,91,42,21
106,0,1,62,81,0
107,0,0,89,54,14
108,1,1,69,2,11
109,0,1,14,3,0
110,0,1,32,25,1
111,1,0,86,64,11
112,1,1,60,91,0
