,avail,forcast_avail,bottom_level,top_level,percentage
0,1,0,90,35,17
1,0,1,43,12,21
2,0,1,12,22,0
3,1,0,12,46,0
4,0,1,96,76,0
5,0,1,53,75,0
6,0,1,33,50,17
7,0,0,37,8,9
8,0,1,34,7,16
9,1,0,80,87,0
10,1,0,49,70,0
11,0,0,72,98,0
12,1,0,53,60,22
13,1,0,65,20,14
14,0,0,80,84,0
15,1,1,43,57,29
16,1,0,52,39,19
17,1,0,63,18,11
18,0,1,10,43,0
19,0,0,2,18,0
20,1,1,37,34,24
21,1,1,77,39,23
22,0,1,68,37,6
23,0,1,56,81,0
24,0,0,70,22,21
25,0,1,92,85,0
26,0,0,33,16,25
27,1,0,74,82,0
28,1,0,28,42,0
29,0,0,71,22,17
30,1,0,38,89,0
31,0,1,45,68,6
32,0,1,88,12,9
33,1,0,14,98,0
34,1,1,58,45,5
35,0,0,82,11,25
36,0,1,99,51,1
37,0,0,22,95,0
38,1,1,69,72,0
39,1,0,42,10,6
40,0,0,74,47,10
41,0,1,97,87,0
42,1,1,100,30,0
43,1,1,100,39,1
44,1,0,3,54,0
45,1,1,8,75,0
46,1,0,54,96,0
47,1,0,69,68,21
48,0,0,56,55,2
49,0,0,43,57,16
50,0,1,2,100,0
51,1,1,85,69,29
52,0,0,54,61,8
53,0,0,2,55,0
54,0,0,33,27,10
55,1,1,84,5,6
56,0,0,38,64,15
57,1,0,43,45,17
58,1,0,40,89,0
59,1,1,53,65,4
60,1,0,46,12,6
61,1,0,90,64,22
62,1,1,60,89,0
63,0,1,87,19,20
64,0,0,90,72,0
65,1,1,5,44,0
66,0,0,64,20,20
67,0,1,7,12,0
68,1,1,67,93,0
69,0,1,96,64,24
70,1,1,41,15,1
71,1,0,48,22,11
72,0,0,2,69,0
73,1,1,78,57,20
74,0,0,3,2,0
75,0,1,63,68,12
76,1,1,21,12,0
77,0,1,26,72,0
78,1,1,11,93,0
79,0,1,82,30,14
80,1,0,6,6,0
81,1,0,0,11,0
82,1,1,34,5,12
83,0,1,9,95,0
84,0,0,8,76,0
85,0,1,98,30,11
86,1,1,62,64,29
87,1,1,21,19,0
88,1,1,89,27,11
89,1,1,93,99,0
90,1,0,26,8,0
91,1,1,48,83,0
92,1,0,94,19,30
93,1,0,7,39,0
94,0,0,60,18,14
95,1,0,18,20,0
96,1,0,2,57,0
97,0,0,7,10,0
98,1,1,65,66,11
99,0,1,98,67,21
100,1,1,21,63,0
101,1,0,35,82,0
102,0,0,18,23,0
103,1,0,83,61,17
104,1,1,85,72,0
105,0,1,55,3,15
106,1,1,6,48,0
107,1,0,25,26,0
108,1,1,0,78,0
