,avail,forcast_avail,bottom_level,top_level,percentage
0,0,0,19,36,2
1,1,1,92,9,19
2,0,1,41,63,7
3,0,1,70,49,6
4,0,0,81,95,0
5,0,0,79,13,0
6,0,1,21,17,15
7,1,1,19,66,10
8,1,1,99,68,10
9,1,1,30,98,0
10,0,1,49,3,23
11,0,1,89,81,0
12,0,1,90,73,0
13,1,1,83,68,14
14,1,0,9,60,5
15,1,1,97,24,8
16,0,1,26,67,13
17,0,1,52,6,18
18,1,1,87,10,9
19,0,1,98,6,30
20,0,1,7,79,0
21,0,0,22,0,17
22,1,0,60,61,7
23,1,1,20,18,5
24,0,0,32,13,7
25,1,0,36,0,8
26,1,1,83,66,23
27,0,1,62,76,0
28,1,1,51,11,21
29,1,1,39,93,0
30,1,0,40,13,1
31,1,0,49,17,11
32,0,0,30,23,12
33,0,0,87,25,13
34,1,1,79,63,23
35,1,0,51,69,7
36,1,1,84,82,0
37,1,0,61,58,7
38,0,1,67,57,21
39,1,1,55,52,13
40,1,0,7,11,2
41,1,0,59,1,22
42,0,0,57,75,0
43,0,0,98,5,29
44,0,0,20,11,15
45,0,1,79,67,27
46,1,0,85,95,0
47,0,1,12,89,0
48,0,1,40,52,11
49,1,1,42,52,12
50,0,0,36,44,19
51,0,1,54,67,27
52,0,1,62,98,0
53,0,0,98,27,25
54,0,1,14,65,5
55,1,1,91,53,16
56,1,0,40,12,22
57,0,1,31,14,17
58,0,1,64,15,24
59,0,1,40,64,14
60,0,0,52,85,0
61,0,0,58,49,5
62,0,1,63,100,0
63,1,1,59,74,0
64,1,1,27,56,30
65,0,0,45,70,0
66,0,1,93,78,0
67,1,0,4,5,5
68,1,1,54,48,27
69,1,0,75,31,28
70,0,0,36,78,0
71,1,0,74,62,19
72,0,0,79,41,4
73,1,0,18,15,11
74,1,1,31,78,0
75,1,1,84,97,0
76,1,1,2,86,0
77,1,0,0,2,4
78,0,1,85,29,0
79,1,0,53,90,0
80,0,1,54,85,0
81,0,1,43,29,15
82,1,1,62,86,0
83,0,1,20,18,17
84,1,1,97,85,0
85,0,1,16,66,21
86,0,0,48,98,0
87,1,1,99,5,22
88,1,1,87,77,0
89,1,1,92,4,2
90,1,0,52,73,0
91,1,0,91,54,17
92,0,1,37,88,0
93,1,0,99,87,0
94,0,0,5,34,12
95,1,1,48,65,5
96,0,0,23,55,24
97,1,1,97,17,1
98,0,0,71,9,22
99,1,0,61,82,0
100,1,0,53,55,4
101,1,1,73,33,14
102,0,1,23,4,15
103,1,1,57,100,0
104,0,0,78,86,0
105,1,0,0,36,29
106,0,1,99,37,19
107,1,0,94,81,0
108,0,1,83,0,9
109,1,1,0,53,9
110,0,0,71,89,0
111,0,1,13,95,0
112,1,1,63,10,2
113,1,1,75,95,0
114,0,0,43,39,13
115,1,1,42,43,22
116,1,1,7,25,8
117,0,0,75,23,0
118,0,0,46,55,16
119,1,0,73,65,28
120,1,0,89,79,0
121,0,0,36,14,23
122,1,0,13,36,11
123,0,1,37,38,6
124,0,0,49,5,1
125,1,1,5,47,20
126,1,0,56,5,27
127,0,0,39,37,10
128,0,0,42,57,16
129,0,1,88,75,0
130,0,1,26,48,25
131,0,1,3,52,0
132,1,1,42,18,7
133,1,1,94,35,9
134,0,1,22,82,0
135,1,0,40,53,23
136,0,1,4,18,25
137,0,0,27,4,26
138,1,0,32,74,0
139,1,0,7,22,28
140,0,0,36,8,21
141,1,1,94,10,4
142,0,1,20,14,3
143,0,0,5,71,0
144,0,0,90,32,16
145,1,1,87,35,21
146,1,1,24,56,7
147,1,0,39,81,0
148,1,0,72,67,0
149,0,1,0,61,6
150,0,0,1,16,7
151,0,1,24,83,0
152,1,0,18,59,11
153,1,1,25,4,7
154,1,1,10,21,6
155,1,1,74,72,0
156,0,1,17,28,2
157,1,0,98,87,0
158,0,0,64,2,22
159,1,0,96,41,25
160,0,0,26,78,0
161,1,1,49,5,14
162,1,1,3,74,0
163,0,1,73,38,5
164,0,1,89,47,16
165,1,1,75,51,15
166,1,0,13,69,14
167,1,0,20,75,0
168,0,0,24,7,5
169,0,0,37,68,16
170,1,1,69,3,5
171,1,1,89,2,11
172,1,0,30,11,17
173,0,1,68,53,20
174,0,0,65,50,27
175,0,0,48,7,12
176,0,0,7,24,1
177,0,1,65,49,17
178,0,0,72,6,18
179,0,1,90,75,0
180,1,1,5,7,17
181,0,0,48,92,0
182,1,0,34,11,29
183,0,1,7,35,8
184,0,0,82,89,0
185,0,0,29,99,0
186,1,0,21,66,21
187,1,1,15,3,21
188,0,0,72,79,0
189,1,0,98,44,24
190,1,0,17,93,0
191,0,0,74,83,0
192,1,0,12,84,0
193,0,1,69,1,1
194,0,1,71,12,3
195,1,0,1,63,28
196,0,1,61,48,18
197,0,0,67,17,30
198,1,0,5,37,13
199,0,0,99,87,0
200,0,0,26,19,17
201,1,1,95,62,18
202,0,1,69,97,0
203,1,1,98,65,29
204,1,0,85,11,11
205,1,0,28,24,24
206,1,1,91,1,14
207,0,1,12,44,0
208,1,1,90,83,0
209,1,0,55,63,12
210,0,1,78,26,29
211,1,1,75,50,19
212,1,1,7,73,0
213,1,0,55,53,11
214,1,1,25,70,0
215,0,0,92,53,29
216,0,1,72,52,7
217,1,1,83,82,0
218,0,0,7,86,0
219,0,0,65,95,0
220,1,1,95,47,6
221,0,0,40,86,0
222,0,0,70,94,0
223,0,1,1,42,21
224,1,1,75,42,28
225,0,1,21,54,5
226,1,1,38,72,0
227,1,0,92,47,17
228,1,1,6,44,0
229,1,0,93,80,0
230,0,0,21,70,0
231,0,1,75,90,0
232,1,1,7,19,8
233,1,1,95,1,26
234,0,1,4,57,0
235,1,1,78,24,24
236,1,1,18,67,6
237,0,0,57,85,0
238,1,0,57,57,16
239,0,1,0,87,0
240,0,0,80,84,0
241,0,0,60,81,0
242,1,1,14,51,19
243,1,0,74,4,6
244,0,0,21,8,18
245,1,1,28,11,19
246,0,0,0,77,0
247,0,0,14,0,15
248,0,0,89,82,0
249,0,1,37,0,5
250,1,1,26,100,0
251,0,0,20,44,29
252,0,1,48,6,7
253,1,0,27,3,26
254,0,1,27,87,0
255,1,1,40,86,0
256,1,1,5,76,0
257,0,0,54,81,0
258,0,1,3,88,0
259,0,0,55,50,20
260,0,0,63,29,3
261,0,1,22,55,20
262,1,0,66,54,21
263,0,0,53,70,0
264,1,1,20,27,24
265,1,0,41,22,17
266,1,0,31,84,0
267,1,0,65,70,0
268,1,0,1,56,28
269,0,1,92,0,18
270,0,0,4,26,12
271,1,0,64,48,17
272,1,0,50,86,0
273,1,0,1,19,21
274,1,1,28,52,2
275,1,0,16,40,12
276,0,0,56,30,16
277,1,1,0,9,17
278,0,0,58,4,6
279,1,0,56,53,28
280,1,1,30,65,12
281,1,0,2,41,1
282,1,0,22,74,0
283,1,1,57,34,5
284,0,0,75,28,7
285,1,0,48,11,4
286,0,1,93,65,7
287,0,1,66,83,0
288,1,0,64,76,0
289,0,0,29,100,0
290,1,0,52,10,7
291,1,0,56,37,16
292,1,1,99,49,26
293,0,1,31,16,4
294,1,0,12,10,9
295,0,0,9,58,20
296,0,1,86,73,0
297,1,1,78,16,8
298,0,0,23,46,3
299,0,0,12,86,0
300,0,0,58,16,22
301,1,0,20,52,20
302,1,0,92,32,14
303,1,1,42,1,10
304,1,0,36,65,23
305,1,1,58,23,18
306,0,1,60,93,0
307,0,0,72,83,0
308,1,1,94,38,5
309,1,1,61,86,0
310,1,1,66,98,0
311,1,0,76,58,29
312,0,0,42,92,0
313,1,1,8,69,25
314,0,1,73,92,0
315,0,0,94,16,1
316,0,1,67,53,4
317,1,1,82,9,29
318,1,1,99,4,2
319,0,1,41,38,20
320,0,0,56,16,11
321,1,1,9,72,0
322,1,0,31,6,22
323,1,1,100,74,0
324,1,1,64,16,3
325,1,0,90,43,4
326,0,0,61,25,5
327,0,1,84,24,30
328,0,0,46,91,0
329,0,1,34,43,12
330,1,0,60,70,0
331,0,1,57,19,0
332,1,1,50,17,15
333,0,0,71,91,0
334,1,1,90,59,3
335,0,1,74,25,12
336,0,1,41,57,15
337,0,1,11,40,26
338,0,1,6,2,22
339,0,1,27,1,11
340,1,0,74,90,0
341,0,1,61,29,12
342,1,1,91,49,29
343,0,0,83,96,0
344,0,0,50,26,8
345,0,0,46,20,5
346,0,0,98,19,17
347,1,0,47,5,11
348,1,0,27,90,0
349,0,0,22,37,10
350,1,0,38,83,0
351,1,0,84,35,0
352,1,0,44,87,0
353,1,1,6,28,30
354,0,0,84,70,0
355,0,1,100,34,15
356,1,1,24,11,9
357,0,1,4,91,0
358,0,1,25,43,8
359,1,1,64,12,9
360,1,0,38,41,13
361,1,1,52,76,0
362,1,1,44,43,18
363,0,1,4,82,0
364,1,1,0,21,22
365,0,1,8,67,22
366,0,0,68,54,0
367,1,1,34,76,0
368,0,1,83,16,24
369,1,0,39,69,27
370,1,1,18,100,0
371,1,1,22,23,13
372,0,0,53,15,16
373,0,0,5,2,29
374,1,1,26,31,7
375,1,1,78,7,19
376,0,1,33,78,0
377,1,0,42,86,0
378,0,1,29,0,28
379,1,0,62,29,29
380,0,1,96,93,0
381,1,1,83,81,0
382,1,0,25,52,26
383,1,1,85,39,23
384,0,0,32,42,19
385,1,1,39,46,17
386,0,1,100,38,29
387,1,1,15,96,0
388,0,1,1,7,20
389,1,1,7,96,0
390,0,1,65,59,29
391,0,0,61,19,17
392,1,1,15,77,0
393,1,0,92,49,9
394,0,0,34,13,4
395,0,1,23,33,22
396,1,0,66,41,20
397,1,1,4,96,0
398,0,0,36,43,21
399,1,0,95,80,0
400,1,1,42,52,23
401,1,1,4,46,4
402,1,1,71,75,0
403,0,1,87,39,25
404,1,0,18,92,0
405,1,0,1,63,12
406,1,1,29,33,7
407,1,0,79,11,2
408,1,1,25,70,0
409,0,0,10,38,13
410,0,0,70,69,10
411,1,0,65,15,5
412,0,0,56,43,3
413,0,0,96,78,0
414,1,1,18,87,0
415,1,0,45,8,27
416,1,1,44,3,12
417,1,0,75,44,10
418,0,1,84,60,14
419,1,0,37,3,14
420,1,1,85,24,3
421,0,0,88,83,0
422,0,0,6,100,0
423,0,1,7,37,2
424,1,1,37,88,0
425,1,1,43,78,0
426,0,1,44,84,0
427,1,0,77,100,0
428,0,0,68,29,3
429,1,1,33,79,0
430,0,0,7,27,12
431,0,1,15,98,0
432,1,0,31,18,19
433,1,1,9,6,22
434,0,1,34,17,25
435,0,0,62,48,21
436,1,1,26,93,0
437,1,0,15,21,24
438,1,0,37,56,15
439,0,1,51,49,30
440,0,0,71,96,0
441,1,1,71,100,0
442,1,1,3,13,3
443,1,0,10,32,26
444,0,0,52,29,24
445,1,1,23,71,0
446,1,1,69,7,28
447,0,1,0,68,16
448,0,0,51,51,28
449,1,1,92,8,3
450,0,1,62,93,0
451,1,0,47,29,30
452,1,0,42,76,0
453,0,1,31,74,0
454,0,1,19,13,21
455,1,1,16,39,0
456,0,1,42,59,26
457,0,1,27,27,6
458,1,0,73,70,0
459,0,1,53,2,11
460,1,1,56,54,28
461,0,0,73,9,10
462,0,1,74,49,23
463,1,0,12,9,7
464,0,0,11,21,13
465,1,0,60,70,0
466,1,1,45,96,0
467,0,1,52,3,29
468,0,0,67,19,20
469,0,0,2,27,26
470,0,1,8,80,0
471,0,0,43,81,0
472,1,0,69,84,0
473,0,0,31,63,17
474,0,1,97,24,11
475,1,0,11,22,22
476,0,1,5,94,0
477,0,0,19,42,17
478,1,1,94,82,0
479,0,1,13,70,0
480,0,0,29,90,0
481,1,1,39,72,0
482,0,0,84,82,0
483,0,1,3,20,24
484,1,0,95,8,26
485,0,1,24,26,23
486,0,1,17,34,4
487,0,1,86,11,9
488,1,0,64,37,4
489,1,1,49,76,0
490,0,1,24,87,0
491,0,0,7,61,5
492,0,0,62,57,10
493,1,1,34,59,7
494,0,0,28,51,2
495,0,0,27,78,0
496,1,1,42,3,17
497,1,1,67,24,10
498,0,0,4,14,6
499,1,0,72,66,25
500,0,0,9,77,0
501,0,1,0,7,10
502,0,0,88,34,9
503,0,0,34,82,0
504,0,0,26,23,24
505,1,1,48,68,6
506,1,0,5,38,9
507,1,0,73,87,0
508,0,0,81,65,30
509,0,1,89,86,0
510,0,0,38,100,0
511,0,0,88,57,5
512,0,1,66,48,11
513,0,1,2,63,8
514,1,0,2,39,20
515,1,1,23,100,0
516,0,0,83,62,27
517,0,1,88,69,15
518,1,0,13,77,0
519,0,1,81,14,17
520,0,0,5,87,0
521,1,0,88,56,3
522,0,1,0,68,20
523,0,0,91,24,5
524,0,1,90,99,0
525,0,0,37,98,0
526,1,0,13,12,2
527,1,0,54,74,0
528,1,1,76,10,25
529,0,1,87,8,25
530,0,1,8,1,4
531,1,1,98,27,8
532,1,1,76,10,27
533,0,0,98,91,0
534,0,1,4,41,12
535,1,1,25,30,29
536,1,1,3,80,0
537,0,0,93,60,5
538,1,1,87,50,9
539,1,0,21,65,19
540,1,1,62,37,12
541,1,1,88,34,10
542,0,0,66,98,0
543,0,1,17,5,25
544,1,0,27,9,2
545,0,0,59,5,15
546,0,1,56,64,12
547,1,1,74,30,26
548,0,0,21,51,16
549,0,1,15,48,6
550,0,1,80,33,11
551,1,1,24,95,0
552,1,0,79,52,8
553,0,0,85,93,0
554,0,1,15,88,0
555,0,0,0,45,27
556,1,0,30,74,0
