,date,avail
0,2018-01-01,0
1,2018-01-02,1
2,2018-01-03,0
3,2018-01-04,1
4,2018-01-05,0
5,2018-01-06,0
6,2018-01-07,1
7,2018-01-08,1
8,2018-01-09,0
9,2018-01-10,0
10,2018-01-11,0
11,2018-01-12,0
12,2018-01-13,0
13,2018-01-14,1
14,2018-01-15,0
15,2018-01-16,1
16,2018-01-17,0
17,2018-01-18,0
18,2018-01-19,0
19,2018-01-20,0
20,2018-01-21,1
21,2018-01-22,1
22,2018-01-23,1
23,2018-01-24,1
24,2018-01-25,0
25,2018-01-26,0
26,2018-01-27,0
27,2018-01-28,0
28,2018-01-29,0
29,2018-01-30,1
30,2018-01-31,1
31,2018-02-01,1
32,2018-02-02,0
33,2018-02-03,0
34,2018-02-04,1
35,2018-02-05,0
36,2018-02-06,1
37,2018-02-07,1
38,2018-02-08,1
39,2018-02-09,0
40,2018-02-10,1
41,2018-02-11,0
42,2018-02-12,0
43,2018-02-13,1
44,2018-02-14,1
45,2018-02-15,0
46,2018-02-16,0
47,2018-02-17,1
48,2018-02-18,0
49,2018-02-19,1
50,2018-02-20,1
51,2018-02-21,0
52,2018-02-22,1
53,2018-02-23,0
54,2018-02-24,0
55,2018-02-25,1
56,2018-02-26,1
57,2018-02-27,1
58,2018-02-28,1
59,2018-03-01,0
60,2018-03-02,1
61,2018-03-03,1
62,2018-03-04,1
63,2018-03-05,0
64,2018-03-06,1
65,2018-03-07,1
66,2018-03-08,1
67,2018-03-09,0
68,2018-03-10,1
69,2018-03-11,1
70,2018-03-12,1
71,2018-03-13,1
72,2018-03-14,1
73,2018-03-15,0
74,2018-03-16,0
75,2018-03-17,0
76,2018-03-18,0
77,2018-03-19,0
78,2018-03-20,0
79,2018-03-21,0
80,2018-03-22,0
81,2018-03-23,0
82,2018-03-24,0
83,2018-03-25,1
84,2018-03-26,0
85,2018-03-27,1
86,2018-03-28,1
87,2018-03-29,1
88,2018-03-30,0
89,2018-03-31,0
90,2018-04-01,0
91,2018-04-02,1
92,2018-04-03,1
93,2018-04-04,0
94,2018-04-05,0
95,2018-04-06,0
96,2018-04-07,1
97,2018-04-08,0
98,2018-04-09,1
99,2018-04-10,0
100,2018-04-11,1
101,2018-04-12,0
102,2018-04-13,0
103,2018-04-14,1
104,2018-04-15,1
105,2018-04-16,0
106,2018-04-17,1
107,2018-04-18,1
108,2018-04-19,1
109,2018-04-20,0
110,2018-04-21,1
111,2018-04-22,1
112,2018-04-23,0
113,2018-04-24,1
114,2018-04-25,1
115,2018-04-26,1
116,2018-04-27,0
117,2018-04-28,1
118,2018-04-29,0
119,2018-04-30,1
120,2018-05-01,1
121,2018-05-02,0
122,2018-05-03,0
123,2018-05-04,0
124,2018-05-05,0
125,2018-05-06,0
126,2018-05-07,1
127,2018-05-08,0
128,2018-05-09,1
129,2018-05-10,0
130,2018-05-11,1
131,2018-05-12,0
132,2018-05-13,1
133,2018-05-14,1
134,2018-05-15,0
135,2018-05-16,0
136,2018-05-17,1
137,2018-05-18,0
138,2018-05-19,1
139,2018-05-20,0
140,2018-05-21,1
141,2018-05-22,0
