,date,avail
0,2018-01-01,1
1,2018-01-02,0
2,2018-01-03,1
3,2018-01-04,0
4,2018-01-05,1
5,2018-01-06,0
6,2018-01-07,1
7,2018-01-08,0
8,2018-01-09,1
9,2018-01-10,0
10,2018-01-11,1
11,2018-01-12,0
12,2018-01-13,1
13,2018-01-14,0
14,2018-01-15,1
15,2018-01-16,0
16,2018-01-17,1
17,2018-01-18,0
18,2018-01-19,1
19,2018-01-20,0
20,2018-01-21,1
21,2018-01-22,0
22,2018-01-23,1
23,2018-01-24,0
24,2018-01-25,1
25,2018-01-26,0
26,2018-01-27,1
27,2018-01-28,0
28,2018-01-29,1
29,2018-01-30,0
30,2018-01-31,1
31,2018-02-01,0
32,2018-02-02,1
33,2018-02-03,1
34,2018-02-04,0
35,2018-02-05,1
36,2018-02-06,0
37,2018-02-07,0
38,2018-02-08,0
39,2018-02-09,1
40,2018-02-10,0
41,2018-02-11,0
42,2018-02-12,0
43,2018-02-13,0
44,2018-02-14,0
45,2018-02-15,0
46,2018-02-16,0
47,2018-02-17,0
48,2018-02-18,0
49,2018-02-19,1
50,2018-02-20,0
51,2018-02-21,0
52,2018-02-22,1
53,2018-02-23,0
54,2018-02-24,0
55,2018-02-25,1
56,2018-02-26,0
57,2018-02-27,1
58,2018-02-28,1
59,2018-03-01,0
60,2018-03-02,0
61,2018-03-03,1
62,2018-03-04,1
63,2018-03-05,0
64,2018-03-06,1
65,2018-03-07,0
66,2018-03-08,0
67,2018-03-09,1
68,2018-03-10,0
69,2018-03-11,1
70,2018-03-12,1
71,2018-03-13,0
72,2018-03-14,1
73,2018-03-15,0
74,2018-03-16,0
75,2018-03-17,0
76,2018-03-18,1
77,2018-03-19,0
78,2018-03-20,1
79,2018-03-21,0
80,2018-03-22,1
81,2018-03-23,0
82,2018-03-24,0
83,2018-03-25,0
84,2018-03-26,0
85,2018-03-27,0
86,2018-03-28,0
87,2018-03-29,0
88,2018-03-30,0
89,2018-03-31,0
90,2018-04-01,0
91,2018-04-02,0
92,2018-04-03,0
93,2018-04-04,1
94,2018-04-05,1
95,2018-04-06,0
96,2018-04-07,0
97,2018-04-08,0
98,2018-04-09,1
99,2018-04-10,0
100,2018-04-11,0
101,2018-04-12,0
102,2018-04-13,0
103,2018-04-14,1
104,2018-04-15,0
105,2018-04-16,0
106,2018-04-17,0
