,date,avail
0,2024-9-4,0
1,2024-11-1,0
2,2023-9-30,1
3,2022-11-21,1
4,2024-10-29,1
5,2023-4-26,1
6,2022-2-17,1
7,2023-11-13,1
8,2022-2-6,0
9,2024-10-8,0
10,2022-9-28,0
11,2023-8-20,0
12,2023-10-13,1
13,2023-6-14,0
14,2024-8-15,1
15,2024-6-1,1
16,2024-8-10,1
17,2024-6-2,1
18,2023-1-9,0
19,2023-5-27,0
20,2022-3-28,1
21,2022-5-5,1
22,2024-8-18,0
23,2022-11-7,1
24,2023-3-19,0
25,2024-9-29,1
26,2023-1-19,0
27,2023-11-3,0
28,2023-7-24,0
29,2023-5-13,0
30,2023-11-20,0
31,2023-8-27,1
32,2024-2-24,1
33,2022-8-11,0
34,2023-8-20,0
35,2022-4-3,0
36,2024-8-15,0
37,2024-1-3,1
38,2023-3-10,1
39,2023-10-14,0
40,2022-10-29,1
41,2023-5-5,0
42,2024-11-13,0
43,2022-4-7,1
44,2023-5-13,1
45,2024-3-3,0
46,2022-3-29,1
47,2024-5-22,1
48,2022-3-11,0
49,2024-12-28,0
50,2024-9-4,0
51,2023-5-8,0
52,2024-4-9,0
53,2024-11-22,1
54,2022-4-18,0
55,2022-12-30,0
56,2023-5-30,0
57,2024-10-16,0
58,2024-4-11,1
59,2024-8-25,1
60,2022-11-11,1
61,2024-7-9,0
62,2023-4-8,0
63,2023-12-21,1
64,2023-3-22,0
65,2024-2-20,0
66,2023-3-13,0
67,2023-12-16,1
68,2024-1-19,1
69,2022-4-12,0
70,2022-2-27,1
71,2024-2-3,1
72,2023-7-16,0
73,2023-11-21,1
74,2023-1-7,1
75,2022-4-29,0
76,2024-9-22,0
77,2022-3-10,1
78,2024-5-16,0
79,2022-6-22,1
80,2022-3-26,0
81,2023-1-10,0
82,2023-11-18,1
83,2022-12-15,1
84,2024-12-26,0
85,2022-2-3,1
86,2022-8-4,1
87,2024-5-5,1
88,2023-12-24,1
89,2022-2-4,1
90,2024-10-26,0
91,2023-11-21,1
92,2022-10-16,0
93,2023-1-6,1
94,2024-4-6,0
95,2022-3-13,0
96,2023-1-24,0
97,2024-2-18,1
98,2024-2-30,0
99,2024-8-27,1
100,2022-3-25,1
101,2023-2-27,1
102,2023-11-25,0
103,2022-1-25,0
104,2022-12-9,1
105,2024-12-12,1
106,2022-10-6,0
107,2022-1-30,1
108,2022-12-1,0
109,2023-2-3,1
110,2023-5-16,1
111,2023-7-19,0
112,2024-1-16,1
113,2024-7-10,0
114,2023-11-9,1
115,2023-7-29,0
116,2023-2-22,0
117,2023-4-1,1
118,2023-2-9,0
119,2023-4-6,0
120,2022-1-6,1
121,2024-1-29,1
122,2023-9-15,0
123,2024-12-29,0
124,2023-12-26,0
125,2022-3-30,0
126,2024-6-11,1
127,2022-5-28,0
128,2022-11-8,1
129,2022-2-30,0
130,2024-2-24,0
131,2023-6-27,1
132,2023-2-29,0
133,2022-2-30,1
134,2024-8-6,1
135,2023-2-16,1
136,2022-1-1,1
137,2022-2-21,1
138,2023-7-7,0
139,2024-1-18,1
140,2024-6-1,1
141,2023-10-18,1
142,2023-3-15,0
143,2022-11-16,1
144,2024-3-1,1
145,2022-8-21,1
146,2024-2-4,0
147,2023-9-10,0
148,2023-3-12,1
149,2023-3-28,0
150,2023-2-30,0
151,2022-5-1,0
152,2022-8-15,1
153,2023-1-13,1
154,2023-8-3,0
155,2024-5-15,1
156,2022-8-20,0
157,2023-1-5,1
158,2022-10-4,0
159,2024-1-9,1
